carat,cut,depth,table,price,x,y,z
0.74,5,61.7,56.0,2779,5.84,5.8,3.59
0.7,3,63.6,57.0,2780,5.61,5.65,3.58
0.77,4,61.2,58.0,2780,5.9,5.93,3.62
0.71,5,62.1,54.0,2780,5.68,5.72,3.54
0.74,5,61.5,55.0,2780,5.81,5.86,3.59
0.7,5,61.4,59.0,2780,5.64,5.73,3.49
1.01,4,61.8,60.0,2781,6.39,6.36,3.94
0.77,5,62.2,56.0,2781,5.83,5.88,3.64
0.78,5,61.2,56.0,2781,5.92,5.99,3.64
0.72,3,60.6,63.0,2782,5.83,5.76,3.51
0.53,3,57.5,64.0,2782,5.34,5.37,3.08
0.76,5,61.3,56.0,2782,5.9,5.94,3.63
0.7,2,57.2,62.0,2782,5.81,5.77,3.31
0.7,4,62.9,60.0,2782,5.62,5.54,3.51
0.75,3,63.1,58.0,2782,5.78,5.73,3.63
0.72,5,60.8,57.0,2782,5.76,5.75,3.5
0.72,4,62.7,59.0,2782,5.73,5.69,3.58
0.7,4,62.8,60.0,2782,5.68,5.66,3.56
0.84,1,55.1,67.0,2782,6.39,6.2,3.47
0.75,4,61.4,59.0,2782,5.88,5.85,3.6
0.52,5,62.2,55.0,2783,5.14,5.18,3.21
0.72,3,63.0,54.0,2784,5.69,5.73,3.6
0.79,3,63.7,56.0,2784,5.85,5.92,3.75
0.72,3,63.6,58.0,2787,5.66,5.69,3.61
0.51,5,62.0,57.0,2787,5.11,5.15,3.18
0.64,5,61.5,56.0,2787,5.54,5.55,3.41
0.7,3,60.5,60.0,2788,5.74,5.77,3.48
0.83,3,61.1,60.0,2788,6.07,6.1,3.72
0.76,5,61.8,56.0,2788,5.85,5.87,3.62
0.71,2,63.3,56.0,2788,5.64,5.68,3.58
0.77,2,59.4,64.0,2788,5.97,5.92,3.53
0.71,5,62.5,55.0,2788,5.71,5.65,3.55
1.01,1,64.5,58.0,2788,6.29,6.21,4.03
1.01,4,62.7,59.0,2788,6.31,6.22,3.93
0.77,2,64.2,52.0,2789,5.81,5.77,3.72
0.76,2,63.7,54.0,2789,5.76,5.85,3.7
0.76,4,60.4,58.0,2789,5.92,5.94,3.58
0.76,4,61.8,58.0,2789,5.82,5.86,3.61
1.05,3,63.2,56.0,2789,6.49,6.45,4.09
0.81,5,61.6,56.0,2789,5.97,6.01,3.69
0.7,5,61.6,56.0,2789,5.72,5.75,3.53
0.55,5,60.9,57.0,2789,5.28,5.3,3.22
0.81,2,61.0,61.0,2789,5.94,5.99,3.64
0.63,4,62.1,57.0,2789,5.48,5.41,3.38
0.63,4,60.9,60.0,2789,5.55,5.52,3.37
0.77,4,61.3,60.0,2789,5.9,5.88,3.61
1.05,1,65.8,59.0,2789,6.41,6.27,4.18
0.64,5,61.3,56.0,2790,5.54,5.58,3.41
0.76,4,58.8,59.0,2790,6.0,5.94,3.51
0.83,5,62.3,55.0,2790,6.02,6.05,3.76
0.71,4,60.1,62.0,2790,5.77,5.74,3.46
0.71,4,61.8,59.0,2790,5.73,5.69,3.53
0.87,3,63.6,55.8,2791,6.07,6.1,3.87
0.73,5,62.2,56.0,2791,5.74,5.78,3.58
0.71,4,59.2,59.0,2792,5.83,5.86,3.46
0.71,4,61.8,59.0,2792,5.7,5.75,3.54
0.71,5,61.3,55.0,2792,5.72,5.77,3.52
0.7,4,62.1,60.0,2792,5.71,5.65,3.53
0.7,4,60.7,60.0,2792,5.78,5.75,3.5
0.76,4,59.6,57.0,2792,5.91,5.86,3.51
0.7,5,62.2,56.0,2792,5.73,5.68,3.55
0.79,3,60.6,57.0,2793,5.98,6.06,3.65
0.7,3,62.9,57.0,2793,5.66,5.69,3.57
0.7,2,64.1,55.0,2793,5.6,5.66,3.61
0.76,5,61.3,56.0,2793,5.87,5.91,3.61
0.73,5,62.7,55.0,2793,5.72,5.76,3.6
0.79,3,63.2,56.0,2794,5.91,5.86,3.72
0.71,3,60.7,56.0,2795,5.81,5.82,3.53
0.81,4,61.9,60.0,2795,5.91,5.86,3.64
0.81,5,62.6,55.0,2795,5.92,5.96,3.72
0.72,2,60.7,60.0,2795,5.74,5.72,3.48
0.72,4,62.0,60.0,2795,5.73,5.69,3.54
0.72,4,63.0,57.0,2795,5.72,5.7,3.6
0.81,4,58.0,59.0,2795,6.17,6.13,3.57
0.72,4,62.9,57.0,2795,5.73,5.65,3.58
1.0,4,58.2,60.0,2795,6.61,6.55,3.83
0.73,2,63.2,58.0,2796,5.7,5.76,3.62
0.81,3,61.3,59.0,2797,5.94,6.01,3.66
0.81,3,60.3,60.0,2797,6.07,6.1,3.67
0.71,4,62.7,60.0,2797,5.67,5.71,3.57
0.71,4,61.3,58.0,2797,5.73,5.75,3.52
0.71,4,61.6,60.0,2797,5.74,5.69,3.52
0.57,5,61.9,55.0,2797,5.34,5.35,3.31
0.51,5,61.7,56.0,2797,5.12,5.16,3.17
0.72,5,61.9,58.0,2797,5.72,5.75,3.55
0.74,5,61.8,58.0,2797,5.77,5.81,3.58
0.74,5,61.6,56.0,2797,5.81,5.82,3.58
0.7,1,58.8,66.0,2797,5.81,5.9,3.44
0.8,4,61.0,57.0,2797,6.03,6.01,3.67
1.01,1,67.4,60.0,2797,6.19,6.05,4.13
0.8,3,63.4,60.0,2797,5.92,5.82,3.72
0.77,5,61.5,59.0,2798,5.87,5.91,3.62
0.83,3,58.0,62.0,2799,6.19,6.25,3.61
0.82,5,62.4,54.0,2799,5.97,6.02,3.74
0.78,5,61.9,57.0,2799,5.91,5.86,3.64
0.6,3,61.6,56.0,2800,5.43,5.46,3.35
0.9,2,62.2,59.0,2800,6.07,6.11,3.79
0.7,4,62.2,58.0,2800,5.6,5.66,3.5
0.9,3,61.3,56.0,2800,6.17,6.23,3.8
0.83,5,62.3,57.0,2800,5.99,6.08,3.76
0.83,5,61.8,57.0,2800,6.03,6.07,3.74
0.83,3,62.5,59.0,2800,5.95,6.02,3.74
0.74,4,62.9,60.0,2800,5.74,5.68,3.59
0.79,5,61.8,59.0,2800,5.92,5.95,3.67
0.61,5,62.3,56.0,2800,5.43,5.45,3.39
0.76,1,59.0,70.0,2800,5.89,5.8,3.46
0.96,5,60.7,55.0,2801,6.37,6.41,3.88
0.73,5,62.5,55.0,2801,5.8,5.76,3.61
0.73,4,62.7,58.0,2801,5.76,5.7,3.59
0.75,5,60.4,57.0,2801,5.93,5.96,3.59
0.71,4,62.1,58.0,2801,5.7,5.67,3.53
0.71,2,57.8,60.0,2801,5.9,5.87,3.4
0.71,2,63.8,58.0,2801,5.64,5.61,3.59
0.71,4,62.8,57.0,2801,5.69,5.64,3.56
1.04,4,62.2,58.0,2801,6.46,6.41,4.0
1.0,4,62.3,58.0,2801,6.45,6.34,3.98
0.87,3,59.9,58.0,2802,6.19,6.23,3.72
0.53,5,61.9,54.0,2802,5.22,5.25,3.24
0.72,4,63.0,55.0,2802,5.79,5.61,3.59
0.72,4,62.4,58.0,2802,5.83,5.7,3.6
0.7,3,62.9,58.0,2803,5.63,5.65,3.55
0.74,3,63.5,56.0,2803,5.74,5.79,3.66
0.71,5,61.3,56.0,2803,5.75,5.71,3.51
0.73,5,60.6,54.0,2803,5.84,5.89,3.55
0.7,2,65.1,58.0,2803,5.56,5.59,3.63
0.71,4,62.6,58.0,2803,5.7,5.67,3.56
0.71,4,58.0,62.0,2803,5.85,5.81,3.38
0.71,4,62.4,61.0,2803,5.7,5.65,3.54
0.77,4,61.3,57.0,2803,5.93,5.88,3.62
0.71,4,59.9,60.0,2803,5.81,5.77,3.47
0.78,4,60.8,58.0,2803,6.03,5.95,3.64
0.71,3,63.5,55.0,2803,5.66,5.64,3.59
0.91,5,62.2,57.0,2803,6.21,6.15,3.85
0.71,3,63.8,58.0,2804,5.62,5.66,3.6
0.71,3,64.0,57.0,2804,5.66,5.68,3.63
0.8,3,62.5,56.0,2804,5.88,5.96,3.7
0.7,3,62.3,58.0,2804,5.69,5.73,3.56
0.72,5,61.7,57.0,2804,5.74,5.77,3.55
0.72,3,62.2,58.0,2804,5.75,5.7,3.56
0.82,5,61.5,56.0,2804,6.01,6.08,3.72
0.7,5,61.0,59.0,2804,5.68,5.7,3.47
0.72,5,62.2,56.0,2804,5.74,5.77,3.58
0.72,5,61.5,54.0,2804,5.77,5.8,3.56
0.9,1,67.3,59.0,2804,5.93,5.84,3.96
0.74,4,61.7,58.0,2805,5.85,5.78,3.59
0.74,4,61.9,56.0,2805,5.8,5.77,3.58
0.73,5,61.8,58.0,2805,5.77,5.81,3.58
0.57,1,58.7,66.0,2805,5.34,5.43,3.16
0.73,4,62.5,57.0,2805,5.75,5.7,3.58
0.72,5,62.8,56.0,2805,5.74,5.7,3.59
0.74,1,61.1,68.0,2805,5.82,5.75,3.53
0.82,2,64.0,57.0,2805,5.92,5.89,3.78
0.81,3,62.5,60.0,2806,5.89,5.94,3.69
0.75,3,60.6,58.0,2806,5.85,5.9,3.56
0.7,5,61.6,55.0,2806,5.72,5.74,3.53
0.71,3,62.2,58.0,2807,5.66,5.72,3.54
0.71,3,60.0,57.0,2807,5.84,5.9,3.52
0.93,4,61.9,57.0,2807,6.21,6.19,3.84
0.8,3,62.8,57.0,2808,5.87,5.91,3.7
0.7,3,62.0,57.0,2808,5.64,5.71,3.52
1.0,1,66.4,59.0,2808,6.16,6.09,4.07
0.75,3,63.4,56.0,2808,5.78,5.74,3.65
0.58,5,60.9,56.0,2808,5.41,5.43,3.3
0.73,3,63.1,57.0,2808,5.74,5.7,3.61
0.81,3,63.1,59.0,2809,5.85,5.79,3.67
0.81,4,59.2,57.0,2809,6.15,6.05,3.61
0.71,4,60.7,54.0,2809,5.84,5.8,3.53
1.2,1,64.6,56.0,2809,6.73,6.66,4.33
0.7,3,61.8,56.0,2810,5.63,5.7,3.5
0.7,3,59.9,60.0,2810,5.77,5.84,3.48
0.74,5,61.7,55.0,2810,5.81,5.85,3.6
0.7,2,62.8,61.0,2810,5.57,5.61,3.51
0.8,2,62.7,57.0,2810,5.84,5.93,3.69
0.75,3,63.4,58.0,2811,5.72,5.76,3.64
0.83,3,63.5,54.0,2811,5.98,5.95,3.79
1.0,1,65.7,59.0,2811,6.14,6.07,4.01
0.99,1,68.1,56.0,2811,6.21,6.06,4.18
0.7,3,63.0,60.0,2812,5.57,5.64,3.53
0.7,3,59.5,58.0,2812,5.75,5.85,3.45
0.7,2,63.5,59.0,2812,5.49,5.53,3.5
0.7,3,61.7,58.0,2812,5.63,5.69,3.49
0.32,4,62.7,58.0,554,4.37,4.34,2.73
0.32,4,62.8,58.0,554,4.39,4.34,2.74
0.32,5,62.4,57.0,554,4.37,4.35,2.72
0.32,4,61.0,59.0,554,4.39,4.36,2.67
0.32,3,63.1,56.0,554,4.39,4.36,2.76
0.32,5,60.7,57.0,554,4.47,4.42,2.7
0.3,4,60.9,59.0,554,4.31,4.29,2.62
0.3,4,60.1,55.0,554,4.41,4.38,2.64
0.3,4,62.9,58.0,554,4.28,4.24,2.68
0.3,3,63.3,56.0,554,4.29,4.27,2.71
0.3,2,63.8,55.0,554,4.26,4.2,2.7
0.3,5,62.9,57.0,554,4.27,4.22,2.67
0.3,3,63.4,60.0,554,4.25,4.23,2.69
0.32,2,63.9,55.0,554,4.36,4.34,2.78
0.33,5,61.4,56.0,554,4.85,4.79,2.95
0.29,3,61.9,55.0,555,4.28,4.33,2.66
0.29,3,62.4,55.0,555,4.2,4.25,2.63
0.31,3,61.8,58.0,555,4.32,4.35,2.68
0.34,5,61.5,56.0,555,4.47,4.5,2.76
0.34,5,60.4,57.0,555,4.54,4.57,2.75
0.34,5,61.8,55.0,555,4.48,4.52,2.78
0.34,5,62.0,56.0,555,4.5,4.53,2.8
0.3,5,62.3,56.0,555,4.29,4.31,2.68
0.29,5,61.6,56.0,555,4.26,4.31,2.64
0.35,5,60.6,56.0,555,4.56,4.58,2.77
0.43,3,58.4,62.0,555,4.94,5.0,2.9
0.32,3,61.4,58.0,556,4.37,4.42,2.7
0.36,5,61.9,56.0,556,4.54,4.57,2.82
0.3,5,62.0,56.0,556,4.28,4.3,2.66
0.26,5,61.5,57.0,556,4.09,4.12,2.52
0.7,3,62.3,58.0,2812,5.64,5.72,3.54
0.7,3,60.9,61.0,2812,5.66,5.71,3.46
0.71,5,62.4,57.0,2812,5.69,5.72,3.56
0.99,1,55.0,61.0,2812,6.72,6.67,3.68
0.73,4,58.6,60.0,2812,5.92,5.89,3.46
0.51,5,62.0,57.0,2812,5.15,5.11,3.18
0.91,4,59.8,58.0,2813,6.3,6.29,3.77
0.84,3,63.4,55.0,2813,6.0,5.95,3.79
0.91,2,64.3,58.0,2813,6.09,6.05,3.9
0.76,4,62.2,59.0,2814,5.86,5.81,3.63
0.76,5,61.7,57.0,2814,5.88,5.85,3.62
0.75,4,61.1,59.0,2814,5.86,5.83,3.57
0.55,3,61.5,56.0,2815,5.23,5.27,3.23
0.76,3,58.5,62.0,2815,5.93,6.01,3.49
0.74,4,61.7,58.0,2815,5.79,5.81,3.58
0.7,5,60.4,56.0,2815,5.75,5.81,3.49
0.7,5,61.4,56.0,2815,5.7,5.76,3.52
0.7,5,61.5,55.0,2815,5.73,5.79,3.54
0.7,5,61.4,56.0,2815,5.72,5.77,3.53
0.9,1,65.0,56.0,2815,6.08,6.04,3.94
0.95,1,56.0,60.0,2815,6.62,6.53,3.68
0.89,4,60.2,59.0,2815,6.26,6.23,3.76
0.72,4,58.3,58.0,2815,5.99,5.92,3.47
0.96,1,53.1,63.0,2815,6.73,6.65,3.55
1.02,4,60.3,58.0,2815,6.55,6.5,3.94
0.78,3,61.4,56.0,2816,5.91,5.95,3.64
0.61,5,60.1,57.0,2816,5.52,5.54,3.32
0.71,2,63.4,55.0,2816,5.61,5.69,3.58
0.78,4,61.5,59.0,2816,5.96,5.88,3.64
0.87,5,62.7,56.0,2816,6.16,6.13,3.85
0.83,5,62.5,55.0,2816,6.04,6.0,3.76
0.71,4,61.3,56.0,2817,5.78,5.73,3.53
0.71,5,60.2,56.0,2817,5.84,5.89,3.53
0.71,5,62.7,57.0,2817,5.66,5.64,3.54
0.71,4,62.3,58.0,2817,5.69,5.65,3.53
0.63,5,61.5,56.0,2817,5.48,5.52,3.38
0.71,4,59.2,59.0,2817,5.86,5.83,3.46
0.71,4,61.8,59.0,2817,5.75,5.7,3.54
0.71,5,61.3,55.0,2817,5.77,5.72,3.52
0.71,4,61.4,58.0,2817,5.77,5.73,3.53
0.9,5,62.8,55.0,2817,6.2,6.16,3.88
0.71,2,62.8,64.0,2817,5.6,5.54,3.5
0.7,4,62.4,61.0,2818,5.66,5.63,3.52
0.7,4,59.3,60.0,2818,5.78,5.73,3.41
0.7,4,63.0,60.0,2818,5.64,5.6,3.54
1.0,4,61.3,60.0,2818,6.43,6.39,3.93
0.86,4,59.3,62.0,2818,6.36,6.22,3.73
0.8,5,61.0,57.0,2818,6.07,6.0,3.68
0.7,5,62.9,57.0,2818,5.66,5.61,3.54
0.7,4,59.6,57.0,2818,5.91,5.83,3.5
0.7,4,61.8,60.0,2818,5.69,5.64,3.5
0.7,4,62.7,57.0,2818,5.68,5.64,3.55
1.0,1,65.3,62.0,2818,6.34,6.12,4.08
0.72,3,63.8,58.0,2819,5.64,5.68,3.61
0.72,5,62.3,56.0,2819,5.73,5.77,3.58
0.7,2,59.7,63.0,2819,5.76,5.79,3.45
0.86,2,64.3,60.0,2819,5.97,5.95,3.83
0.71,5,62.9,58.0,2820,5.66,5.69,3.57
0.75,5,62.0,57.0,2821,5.8,5.78,3.59
0.73,4,61.6,59.0,2821,5.77,5.73,3.54
0.53,5,61.9,55.0,2821,5.2,5.21,3.22
0.73,4,61.3,58.0,2821,5.83,5.76,3.55
0.73,2,63.6,57.0,2821,5.72,5.7,3.63
0.73,4,59.6,61.0,2821,5.92,5.85,3.51
0.73,4,62.2,59.0,2821,5.77,5.68,3.56
